opinion_id,author,recommendation,score,confirmed,opinion_date,purchase_date,up_votes,down_votes,content,cons,pros
17616846,j...1,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-06-15 21:50:29,2023-05-24 10:23:27,0,0,Produkt. Zgodny z opisem. Jestem bardzo zadowolony z zegarka spe³nia moje oczekiwania. Bateria trzyma 2-3 dni. Du¿o funkcji szkoda tylko ¿e niektóre dzia³aj¹ tylko z telefonem Samsung. Ogólnie polecam,"['bateria', 'wspó³praca z telefon']","['atrakcyjny wygl¹d', 'p³atnoœæi nfc']"
16698505,w...8,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2022-11-01 19:31:22,2022-10-02 16:30:28,3,1,"Bardzo dobry zegarek, widaæ ¿e samsung odrabia pracê domowe, jestem ciekaw co bêdzie dalej :)",[],"['atrakcyjny wygl¹d', 'bateria', 'p³atnoœæi nfc']"
17375121,w...a,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-04-07 11:30:15,2023-03-07 13:16:55,1,0,Produkt jest bardzo przydatny i jestem zadowolony. Dziêkujê za szybk¹ realizacjê zamówienia.,[],[]
17599487,d...t,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-06-11 07:19:46,2023-06-02 14:52:15,0,0,Œwietny smartwatch z mnóstwem przydatnych funkcji. Do tego wygl¹d na wiele okazji. Polecam.,[],"['atrakcyjny wygl¹d', 'bateria', 'p³atnoœæi nfc', 'super funkcje trenin', 'wspó³praca z telefon']"
16863871,p...i,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2022-12-11 09:42:45,2022-12-06 21:28:16,0,0,Wszystko zgodne z oczekiwaniami,['bateria'],"['atrakcyjny wygl¹d', 'p³atnoœæi nfc']"
16950078,t...1,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2022-12-29 20:58:32,2022-12-17 09:40:26,0,0,jest super jestem zadowolony,[],"['atrakcyjny wygl¹d', 'bateria', 'p³atnoœæi nfc']"
17166327,b...b,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-02-20 10:36:28,2023-02-14 13:45:35,0,0,Jestem zadowolony z zakupu,[],[]
17263228,p...l,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-03-14 10:07:38,2023-03-09 09:55:00,0,6,"Narazie w trakcie u¿ywania, ale na pierwszy rzut oka nie mam ¿adnych przeciwskazañ.","['bateria', 'niefunkcjonalny', 'niekompatybilny']","['atrakcyjny wygl¹d', 'p³atnoœæi nfc']"
17613175,0...u,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-06-15 03:27:33,2023-06-10 16:54:27,0,0,Produkt godny polecenia,[],"['atrakcyjny wygl¹d', 'bateria', 'p³atnoœæi nfc', 'wspó³praca z telefon']"
17558435,z...k,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-05-29 13:29:24,2023-05-24 08:29:28,0,0,Super zegarek. Polecam.,[],[]
17206045,m...i,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-03-01 02:01:38,2023-02-15 13:17:17,0,1,Najlepszy smart watch na rynku.,[],"['atrakcyjny wygl¹d', 'bateria', 'p³atnoœæi nfc']"
16967749,k...k,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-01-03 13:12:11,2022-12-12 23:12:32,0,0,"OK, polecam",[],"['atrakcyjny wygl¹d', 'bateria', 'p³atnoœæi nfc']"
17418788,r...3,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-04-19 10:59:06,2023-04-11 18:41:25,0,1,¯ona mega zadowolona i poleca,[],[]
17230419,a...z,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-03-06 21:25:22,2023-02-21 22:21:36,0,1,"Jest OK, d³ugo trzyma bateria",[],"['atrakcyjny wygl¹d', 'bateria']"
17340625,b...a,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-03-30 11:58:31,2023-03-25 16:41:09,0,0,bardzo dobra jakoœæ,[],"['atrakcyjny wygl¹d', 'bateria', 'p³atnoœæi nfc']"
17546627,k...k,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-05-25 10:39:34,2023-05-22 13:05:57,0,1,"szybko, tanio, konkretnie",[],[]
17149392,Urszula,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-02-15 19:12:26,2023-02-11 22:01:58,0,1,Przerós³ moje oczekiwania,[],[]
16947819,j...m,Polecam,"4,5/5",Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2022-12-29 13:32:34,2022-12-11 16:05:54,0,0,Zgodny z opisem,[],"['atrakcyjny wygl¹d', 'bateria']"
17422000,k...9,Polecam,"4,5/5",Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-04-19 21:08:17,2023-04-11 14:22:11,0,1,Œrednio wszystko dzia³a,"['atrakcyjny wygl¹d', 'bateria', 'niekompatybilny', 'wspó³praca z telefon']","['niefunkcjonalny', 'p³atnoœæi nfc']"
17224725,t...i,Polecam,4/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-03-04 19:04:23,2023-02-23 15:43:34,0,1,S³aba bateria reszta ok,[],[]
17507029,g...i,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-05-15 07:25:09,2023-04-24 14:00:54,0,0,Bardzo dobry.,['bateria'],"['atrakcyjny wygl¹d', 'p³atnoœæi nfc', 'wspó³praca z telefon']"
17352861,r...a,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-04-03 05:18:03,2023-03-18 07:48:14,0,1,zapakowany fabrycznie,[],[]
17577513,g...2,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-06-03 06:10:25,2023-05-25 10:40:29,0,0,Wszystko ok,[],"['atrakcyjny wygl¹d', 'bateria', 'p³atnoœæi nfc', 'wspó³praca z telefon']"
16987251,d...4,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-01-07 11:28:53,2022-12-17 18:18:30,0,0,Rewelacja,[],"['atrakcyjny wygl¹d', 'bateria', 'niefunkcjonalny', 'p³atnoœæi nfc']"
16790343,gaba,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2022-11-24 20:49:31,2022-11-03 08:03:54,0,0,polecam,[],"['atrakcyjny wygl¹d', 'bateria', 'p³atnoœæi nfc']"
17213563,W...a,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-03-02 10:35:29,2023-02-27 21:01:25,0,0,Super,[],[]
17610177,l...1,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-06-14 12:18:18,2023-06-07 13:32:22,0,0,Super,[],"['atrakcyjny wygl¹d', 'bateria', 'p³atnoœæi nfc', 'wspó³praca z telefon']"
17441940,jmlynarczyk@krynica.net.pl,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-04-25 13:21:59,2023-04-12 12:05:29,0,0,super,[],"['atrakcyjny wygl¹d', 'bateria', 'niefunkcjonalny', 'p³atnoœæi nfc']"
17214144,m...4,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-03-02 11:41:22,2023-02-27 17:54:21,0,0,Fajny,[],"['atrakcyjny wygl¹d', 'bateria', 'p³atnoœæi nfc']"
17209422,a...6,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-03-01 17:06:22,2023-01-29 20:40:17,0,0,Super,[],[]
17017420,k...1,,"3,5/5",Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-01-14 17:55:05,2022-12-14 21:09:49,0,0,Okej,['bateria'],"['atrakcyjny wygl¹d', 'p³atnoœæi nfc']"
17562361,m...5,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (us³ugi Kup Teraz).,2023-05-30 14:37:11,2023-05-24 13:19:53,0,0,Oki,[],[]
